episode,steps,total_reward,success,collisions,epsilon
1,300,1110.26088669732,True,0,0.99
2,328,451.58884906814194,False,1,0.9801
3,288,11.00703873905347,False,1,0.9702989999999999
4,68,-63.00954900617602,False,1,0.96059601
5,349,550.1654257817946,False,1,0.9509900498999999
6,352,320.31949895782077,False,1,0.9414801494009999
7,289,121.19976787358036,False,1,0.9320653479069899
8,362,1272.4994298304068,True,0,0.92274469442792
9,170,771.5448770519517,True,0,0.9135172474836407
10,174,750.9275315064501,True,0,0.9043820750088043
11,283,517.9309802519869,False,1,0.8953382542587163
12,190,821.2383370060049,True,0,0.8863848717161291
13,197,878.4320709351758,True,0,0.8775210229989678
14,131,-28.960983452093693,False,1,0.8687458127689781
15,213,858.6636264454824,True,0,0.8600583546412883
16,196,867.9333729061647,True,0,0.8514577710948754
17,319,942.4591076754776,True,0,0.8429431933839266
18,215,917.877797946038,True,0,0.8345137614500874
19,283,604.1847605899433,False,1,0.8261686238355865
20,186,841.2288008331905,True,0,0.8179069375972307
21,168,768.8610749299629,True,0,0.8097278682212583
22,333,743.1403996052795,False,1,0.8016305895390458
23,295,643.2147760484452,False,1,0.7936142836436553
24,190,853.3552402528428,True,0,0.7856781408072188
25,252,966.7022603665893,True,0,0.7778213593991465
26,106,-50.09488728051523,False,1,0.7700431458051551
27,208,861.201776958616,True,0,0.7623427143471035
28,273,1044.5210220635872,True,0,0.7547192872036325
29,334,1058.9461823456008,True,0,0.7471720943315961
30,176,787.6553845230326,True,0,0.7397003733882802
31,198,865.8631577782559,True,0,0.7323033696543974
32,293,1049.6968857237455,True,0,0.7249803359578534
33,360,1274.4099054044723,True,0,0.7177305325982748
34,277,15.644650019819295,False,1,0.7105532272722921
35,349,1188.1631974418126,True,0,0.7034476949995692
36,307,632.0495654106892,False,1,0.6964132180495735
37,192,847.6058095227089,True,0,0.6894490858690777
38,193,852.3855392699195,True,0,0.682554595010387
39,245,954.3030633917637,True,0,0.6757290490602831
40,156,761.3843834342456,True,0,0.6689717585696803
41,182,810.5875878573825,True,0,0.6622820409839835
42,194,853.0975182352907,True,0,0.6556592205741436
43,197,848.4612239374974,True,0,0.6491026283684022
44,212,897.6887472807658,True,0,0.6426116020847181
45,274,845.9710000927122,True,0,0.6361854860638709
46,167,817.060046340175,True,0,0.6298236312032323
47,176,820.5007326037983,True,0,0.6235253948912
48,303,1123.6018085015496,True,0,0.617290140942288
49,346,380.7892361533718,False,1,0.6111172395328651
50,288,488.5717680714288,False,1,0.6050060671375365
51,112,-49.235232270709794,False,1,0.5989560064661611
52,68,-67.99311907717866,False,1,0.5929664464014994
53,189,798.4770287421231,True,0,0.5870367819374844
54,289,1084.625213129503,True,0,0.5811664141181095
55,186,832.5340141361122,True,0,0.5753547499769285
56,295,1118.236069161786,True,0,0.5696012024771592
57,260,952.568711247696,True,0,0.5639051904523876
58,283,426.93183273813685,False,1,0.5582661385478638
59,595,1413.5243271412949,False,1,0.5526834771623851
60,174,807.3944442227669,True,0,0.5471566423907612
61,149,758.1846243864219,True,0,0.5416850759668536
62,190,874.3584601354964,True,0,0.536268225207185
63,163,781.7822726930724,True,0,0.5309055429551132
64,156,766.6709097288872,True,0,0.525596487525562
65,189,855.8938978731418,True,0,0.5203405226503064
66,187,850.5146427262666,True,0,0.5151371174238033
67,344,766.881488477804,False,1,0.5099857462495653
68,175,-7.050433773938352,False,1,0.5048858887870696
69,68,-89.7322016456915,False,1,0.4998370298991989
70,162,-14.547254152584316,False,1,0.49483865960020695
71,82,-75.67438119468407,False,1,0.4898902730042049
72,140,667.2161357160485,True,0,0.48499137027416284
73,151,760.6454156383418,True,0,0.4801414565714212
74,215,968.958852812045,True,0,0.475340042005707
75,229,930.859773260369,True,0,0.47058664158564995
76,174,807.8616330489688,True,0,0.4658807751697934
77,216,803.9379323195999,True,0,0.4612219674180955
78,302,643.1585928674435,False,1,0.45660974774391455
79,225,181.5203019689671,False,1,0.4520436502664754
80,211,227.92557862835548,False,1,0.44752321376381066
81,290,-2.503314773425359,False,1,0.44304798162617254
82,213,860.1924861290491,True,0,0.4386175018099108
83,130,674.278736332861,True,0,0.4342313267918117
84,171,820.848713345667,True,0,0.4298890135238936
85,158,755.3533719768841,True,0,0.42559012338865465
86,157,808.8331935915744,True,0,0.4213342221547681
87,151,788.4753976262969,True,0,0.41712087993322045
88,232,867.9100009710165,True,0,0.41294967113388825
89,160,794.038076640182,True,0,0.40882017442254937
90,145,768.8506378825871,True,0,0.4047319726783239
91,153,775.2746280569215,True,0,0.40068465295154065
92,206,875.6754192773516,True,0,0.39667780642202527
93,228,914.4619987215119,True,0,0.392711028357805
94,196,853.1797979376444,True,0,0.38878391807422696
95,324,897.0444403997803,True,0,0.3848960788934847
96,287,1109.0307074638447,True,0,0.38104711810454983
97,288,439.6303573047554,False,1,0.37723664692350434
98,161,766.9208053440309,True,0,0.37346428045426927
99,147,735.4311389048883,True,0,0.36972963764972655
100,145,749.0670592902356,True,0,0.36603234127322926
101,188,861.8122396867533,True,0,0.36237201786049694
102,194,881.6905336977732,True,0,0.358748297681892
103,144,752.1438272407601,True,0,0.35516081470507305
104,153,779.9787496229144,True,0,0.3516092065580223
105,167,849.6757518169644,True,0,0.34809311449244207
106,179,839.0662100706533,True,0,0.34461218334751764
107,152,771.8133550410141,True,0,0.34116606151404244
108,342,1178.0171202339852,True,0,0.337754400898902
109,124,696.1042835659034,True,0,0.334376856889913
110,168,842.3612778327655,True,0,0.33103308832101386
111,145,746.1912827511269,True,0,0.3277227574378037
112,165,810.5563999423898,True,0,0.3244455298634257
113,139,753.2799530707213,True,0,0.3212010745647914
114,153,794.5079074040076,True,0,0.3179890638191435
115,174,820.6585600039992,True,0,0.31480917318095203
116,151,779.563872356893,True,0,0.3116610814491425
117,373,1222.7501616618733,True,0,0.30854447063465107
118,156,744.2031570297153,True,0,0.30545902592830454
119,315,821.7846618987533,True,0,0.3024044356690215
120,219,409.78161281093645,False,1,0.29938039131233124
121,220,801.0490861588457,True,0,0.2963865873992079
122,293,1058.3328414539346,True,0,0.29342272152521587
123,127,679.2347485365307,True,0,0.2904884943099637
124,153,789.5275804683604,True,0,0.28758360936686406
125,155,782.7985776707574,True,0,0.2847077732731954
126,163,813.2097190430069,True,0,0.28186069554046345
127,341,1063.2147367123623,True,0,0.2790420885850588
128,148,731.1760503990824,True,0,0.2762516676992082
129,148,758.5785840876832,True,0,0.27348915102221616
130,270,612.5368953093869,False,1,0.270754259511994
131,394,913.3020359101776,False,1,0.26804671691687404
132,374,1222.3270853519361,True,0,0.2653662497477053
133,289,31.546568768779096,False,1,0.2627125872502282
134,108,-56.07311329947785,False,1,0.2600854613777259
135,320,1053.5176988025207,True,0,0.2574846067639487
136,112,606.4393004501475,True,0,0.2549097606963092
137,133,670.2701806884132,True,0,0.2523606630893461
138,360,1286.5838675359657,True,0,0.24983705645845267
139,359,749.5953733907083,True,0,0.24733868589386815
140,133,725.0942250780604,True,0,0.24486529903492946
141,113,664.6686765758448,True,0,0.24241664604458016
142,128,722.789741990685,True,0,0.23999247958413436
143,115,658.8876137350711,True,0,0.23759255478829303
144,107,646.9755000169621,True,0,0.2352166292404101
145,202,909.3044398223865,True,0,0.232864462948006
146,112,669.7692452758663,True,0,0.23053581831852593
147,114,671.7246036989732,True,0,0.22823046013534068
148,207,934.1228721992471,True,0,0.22594815553398728
149,130,714.6340185534365,True,0,0.22368867397864742
150,208,906.5292836721076,True,0,0.22145178723886094
151,142,767.9627593710466,True,0,0.21923726936647234
152,137,747.5540414768767,True,0,0.2170448966728076
153,116,670.3521515171924,True,0,0.21487444770607952
154,147,772.049047305291,True,0,0.21272570322901874
155,136,745.8449985349288,True,0,0.21059844619672854
156,161,782.8295429635918,True,0,0.20849246173476127
157,147,779.2219322062398,True,0,0.20640753711741366
158,389,525.4501463531783,False,1,0.20434346174623952
159,119,668.639399439628,True,0,0.20230002712877712
160,200,903.803269818723,True,0,0.20027702685748935
161,128,732.4949847124967,True,0,0.19827425658891445
162,132,726.6731359354508,True,0,0.1962915140230253
163,165,798.9942355405108,True,0,0.19432859888279505
164,111,657.0900365962881,True,0,0.1923853128939671
165,134,738.2841741151701,True,0,0.19046145976502743
166,130,733.22316614159,True,0,0.18855684516737714
167,125,708.9736807375846,True,0,0.18667127671570335
168,181,854.1680832470115,True,0,0.18480456394854633
169,99,624.7647580162742,True,0,0.18295651830906087
170,153,766.3648787344125,True,0,0.18112695312597027
171,241,857.715004686535,True,0,0.17931568359471056
172,145,716.4202640514335,True,0,0.17752252675876345
173,107,633.6344571869245,True,0,0.17574730149117582
174,94,615.1075895172099,True,0,0.17398982847626407
175,141,757.732646175816,True,0,0.17224993019150142
176,123,712.1803618078529,True,0,0.1705274308895864
177,120,693.7752578861862,True,0,0.16882215658069055
178,149,775.220225465782,True,0,0.16713393501488363
179,158,782.1259480675824,True,0,0.16546259566473479
180,185,735.1127545681669,True,0,0.16380796970808745
181,89,587.2052520154662,True,0,0.16216989001100657
182,185,912.6258591485008,True,0,0.1605481911108965
183,292,985.3617409437136,True,0,0.15894270919978754
184,107,644.292117888705,True,0,0.15735328210778965
185,105,634.8518672520956,True,0,0.15577974928671176
186,178,843.2467508216549,True,0,0.15422195179384465
187,177,817.1086744021233,True,0,0.1526797322759062
188,197,861.3133350225963,True,0,0.15115293495314713
189,258,999.3765698401223,True,0,0.14964140560361566
190,112,675.1257140052428,True,0,0.1481449915475795
191,113,672.9204654052837,True,0,0.1466635416321037
192,147,738.4847408124624,True,0,0.14519690621578268
193,167,799.5727721761627,True,0,0.14374493715362485
194,134,747.3207962368926,True,0,0.1423074877820886
195,105,638.3980567385288,True,0,0.1408844129042677
196,101,619.8542421668941,True,0,0.13947556877522502
197,165,807.1915336103291,True,0,0.13808081308747278
198,136,723.1463223242777,True,0,0.13670000495659804
199,126,710.1092011780449,True,0,0.13533300490703207
200,119,686.6772238507274,True,0,0.13397967485796175
201,186,840.9265357616193,True,0,0.13263987810938213
202,148,784.0305306634855,True,0,0.1313134793282883
203,129,634.303204640104,True,0,0.13000034453500542
204,159,825.6350462861866,True,0,0.12870034108965536
205,152,807.2181185392433,True,0,0.12741333767875881
206,117,684.8115122524468,True,0,0.12613920430197123
207,94,607.2242245087676,True,0,0.12487781225895152
208,193,896.4880660506277,True,0,0.123629034136362
209,182,741.6399069656957,True,0,0.12239274379499838
210,233,1035.1225278109587,True,0,0.1211688163570484
211,217,814.3164295917283,True,0,0.11995712819347792
212,207,863.3180065525364,True,0,0.11875755691154315
213,539,1722.5860979154002,True,0,0.11756998134242772
214,157,731.6393916268025,True,0,0.11639428152900344
215,234,458.43782665608535,False,1,0.11523033871371341
216,169,226.75656432731967,False,1,0.11407803532657627
217,107,610.8871355984621,True,0,0.11293725497331052
218,177,839.235421101415,True,0,0.1118078824235774
219,242,974.4074526733716,True,0,0.11068980359934164
220,244,982.7262790146264,True,0,0.10958290556334822
221,91,590.0504351863736,True,0,0.10848707650771475
222,91,594.8312417089151,True,0,0.1074022057426376
223,138,761.7965417548253,True,0,0.10632818368521123
224,89,585.2579989463715,True,0,0.10526490184835911
225,177,839.8638088873554,True,0,0.10421225282987552
226,102,634.3948444378974,True,0,0.10317013030157676
227,115,670.5231614020543,True,0,0.10213842899856099
228,105,651.035873616155,True,0,0.10111704470857538
229,143,779.1698625493643,True,0,0.10010587426148963
230,98,625.6957020541402,True,0,0.09910481551887473
231,157,766.8963597983436,True,0,0.09811376736368599
232,81,565.287405528835,True,0,0.09713262969004913
233,94,608.1520581278191,True,0,0.09616130339314863
234,160,790.803230578297,True,0,0.09519969035921715
235,86,573.673922732771,True,0,0.09424769345562498
236,87,586.2575671014359,True,0,0.09330521652106873
237,200,918.8723462804988,True,0,0.09237216435585804
238,110,598.2117563682941,True,0,0.09144844271229946
239,108,651.6859772752806,True,0,0.09053395828517646
240,91,597.0957686809392,True,0,0.08962861870232469
241,156,774.4867596253714,True,0,0.08873233251530144
242,135,749.6372217379253,True,0,0.08784500919014843
243,116,686.340840549408,True,0,0.08696655909824694
244,91,595.8730187408398,True,0,0.08609689350726446
245,151,755.1849776006002,True,0,0.08523592457219181
246,145,723.1355324397917,True,0,0.0843835653264699
247,85,571.5253415565448,True,0,0.0835397296732052
248,94,607.6989165682235,True,0,0.08270433237647315
249,82,565.8671535523183,True,0,0.08187728905270841
250,215,927.6860790174951,True,0,0.08105851616218133
251,178,765.4237731690906,True,0,0.08024793100055952
252,118,686.7593831128395,True,0,0.07944545169055392
253,208,812.3993367644138,True,0,0.07865099717364837
254,149,730.8768971842048,True,0,0.07786448720191189
255,87,583.2212548232391,True,0,0.07708584232989277
256,98,620.7765547634823,True,0,0.07631498390659384
257,85,576.2133982367318,True,0,0.07555183406752791
258,81,563.0045291158337,True,0,0.07479631572685264
259,203,947.0057189922403,True,0,0.07404835256958411
260,78,556.9961649587887,True,0,0.07330786904388827
261,80,561.8776126161338,True,0,0.07257479035344938
262,79,557.9256992204914,True,0,0.07184904244991488
263,109,661.4343575253286,True,0,0.07113055202541574
264,101,635.5093159966013,True,0,0.07041924650516158
265,95,606.1839263234586,True,0,0.06971505404010997
266,128,716.8350461371501,True,0,0.06901790349970886
267,174,837.448904656532,True,0,0.06832772446471178
268,99,629.4663830940096,True,0,0.06764444722006466
269,92,606.6110129763528,True,0,0.066968002747864
270,86,586.6072349284256,True,0,0.06629832272038537
271,165,803.4834535772172,True,0,0.06563533949318151
272,79,559.607779966389,True,0,0.06497898609824969
273,84,572.7507906134847,True,0,0.0643291962372672
274,152,747.1578352020686,True,0,0.06368590427489453
275,86,581.1822151753606,True,0,0.06304904523214558
276,112,674.2549128427024,True,0,0.06241855477982412
277,105,650.3550499172238,True,0,0.06179436923202588
278,191,756.3410356376196,True,0,0.06117642553970562
279,83,561.8902381196093,True,0,0.06056466128430856
280,84,572.8046530144416,True,0,0.05995901467146548
281,81,560.7181845500368,True,0,0.05935942452475082
282,124,722.449394453738,True,0,0.058765830279503314
283,111,673.6159861189153,True,0,0.05817817197670828
284,162,797.9012259911749,True,0,0.057596390256941195
285,91,599.5345297466174,True,0,0.05702042635437178
286,81,565.0987793243364,True,0,0.05645022209082806
287,82,571.691639333233,True,0,0.05588571986991978
288,87,582.0317569737401,True,0,0.055326862671220584
289,108,655.6703850730194,True,0,0.05477359404450838
290,80,562.0314407331614,True,0,0.054225858104063294
291,128,731.1117647043901,True,0,0.05368359952302266
292,88,587.3129283200692,True,0,0.053146763527792434
293,96,619.0311691810007,True,0,0.052615295892514506
294,124,669.1715146820329,True,0,0.052089142933589364
295,81,560.4175178405596,True,0,0.05156825150425347
296,125,714.0637290343832,True,0,0.051052568989210935
297,287,1018.6454264661277,True,0,0.05054204329931883
298,198,246.15570267444173,False,1,0.05003662286632564
299,239,759.9699495146235,True,0,0.04953625663766238
300,132,171.23886238379274,False,1,0.04904089407128576
301,119,-40.005071716138026,False,1,0.0485504851305729
302,104,637.6507634812142,True,0,0.048064980279267165
303,83,575.7588985876016,True,0,0.04758433047647449
304,84,576.9475291966354,True,0,0.04710848717170975
305,85,575.6626115667343,True,0,0.04663740229999265
306,188,878.1197449203858,True,0,0.04617102827699272
307,84,571.4777857898448,True,0,0.045709317994222794
308,87,580.6189598016432,True,0,0.04525222481428057
309,142,720.786217727437,True,0,0.04479970256613776
310,90,597.4260781774548,True,0,0.04435170554047638
311,81,562.2409748873617,True,0,0.043908188485071616
312,96,614.2028559366393,True,0,0.0434691066002209
313,79,558.4881443885783,True,0,0.04303441553421869
314,140,772.2134017260273,True,0,0.0426040713788765
315,91,593.1695115360883,True,0,0.04217803066508773
316,81,564.3324079125028,True,0,0.04175625035843686
317,82,568.1275879249299,True,0,0.041338687854852486
318,90,588.7163521561856,True,0,0.04092530097630396
319,100,628.0385840826445,True,0,0.040516047966540916
320,102,641.4213729854171,True,0,0.04011088748687551
321,103,643.2998670167636,True,0,0.03970977861200675
322,133,745.7102696976729,True,0,0.03931268082588668
323,146,736.5037207498387,True,0,0.03891955401762781
324,79,557.9239955809675,True,0,0.03853035847745153
325,82,564.6547153534351,True,0,0.03814505489267701
326,90,593.5425187849992,True,0,0.03776360434375024
327,94,612.123061388729,True,0,0.03738596830031274
328,95,614.4304152047014,True,0,0.03701210861730961
329,117,694.6942228631951,True,0,0.03664198753113651
330,97,623.2484471264654,True,0,0.036275567655825146
331,101,632.4344113818061,True,0,0.03591281197926689
332,91,604.5980923773632,True,0,0.035553683859474224
333,80,562.5845665420776,True,0,0.03519814702087948
334,90,595.733189202475,True,0,0.03484616555067068
335,313,1173.7672116220583,True,0,0.034497703895163975
336,195,728.007568705417,True,0,0.03415272685621234
337,96,-73.28394241803042,False,1,0.03381119958765021
338,155,219.58738917680085,False,1,0.03347308759177371
339,135,253.6653477008947,False,1,0.03313835671585597
340,200,186.63888560848187,False,1,0.03280697314869741
341,103,576.8834949136779,True,0,0.032478903417210436
342,82,569.0355545332493,True,0,0.032154114383038335
343,103,587.4285020001706,True,0,0.03183257323920795
344,79,557.9255553436035,True,0,0.03151424750681587
345,79,558.4886976286871,True,0,0.03119910503174771
346,83,571.0393843657082,True,0,0.030887113981430233
347,122,705.8393635374052,True,0,0.03057824284161593
348,96,618.4225337422429,True,0,0.03027246041319977
349,79,557.7532409701307,True,0,0.029969735809067772
350,83,575.2803026286165,True,0,0.029969735809067772
351,139,762.2474791945046,True,0,0.029969735809067772
352,114,679.8716569774804,True,0,0.029969735809067772
353,86,576.416449324958,True,0,0.029969735809067772
354,169,807.4805252926259,True,0,0.029969735809067772
355,82,569.130039851027,True,0,0.029969735809067772
356,79,558.4887302345114,True,0,0.029969735809067772
357,81,565.0575201192783,True,0,0.029969735809067772
358,81,565.0987080966677,True,0,0.029969735809067772
359,125,719.5437741240316,True,0,0.029969735809067772
360,79,558.4887864813422,True,0,0.029969735809067772
361,103,644.3243100810105,True,0,0.029969735809067772
362,95,616.6734014153267,True,0,0.029969735809067772
363,95,616.7404784812001,True,0,0.029969735809067772
364,79,558.4887034432522,True,0,0.029969735809067772
365,83,567.4062803780616,True,0,0.029969735809067772
366,79,558.4886468491425,True,0,0.029969735809067772
367,173,826.2996194716848,True,0,0.029969735809067772
368,81,565.026915999498,True,0,0.029969735809067772
369,82,569.4348165454142,True,0,0.029969735809067772
370,85,570.3158698802004,True,0,0.029969735809067772
371,81,565.6667415004531,True,0,0.029969735809067772
372,79,558.4887093443451,True,0,0.029969735809067772
373,107,658.8963991020333,True,0,0.029969735809067772
374,173,768.287966386566,True,0,0.029969735809067772
375,162,782.6787989318198,True,0,0.029969735809067772
376,81,558.3748633122173,True,0,0.029969735809067772
377,79,557.9009590227924,True,0,0.029969735809067772
378,79,558.4887056330374,True,0,0.029969735809067772
379,87,580.659061345498,True,0,0.029969735809067772
380,80,561.7027636171297,True,0,0.029969735809067772
381,81,565.702893432318,True,0,0.029969735809067772
382,156,782.8603106727185,True,0,0.029969735809067772
383,157,774.3618607274598,True,0,0.029969735809067772
384,81,560.29128867708,True,0,0.029969735809067772
385,79,558.4887938979589,True,0,0.029969735809067772
386,79,558.4886994872136,True,0,0.029969735809067772
387,83,572.0167871024673,True,0,0.029969735809067772
388,81,564.4407468125403,True,0,0.029969735809067772
389,100,630.2038597261258,True,0,0.029969735809067772
390,84,568.2518497152487,True,0,0.029969735809067772
391,113,682.2776752814189,True,0,0.029969735809067772
392,161,783.4166343746213,True,0,0.029969735809067772
393,79,558.4887323584588,True,0,0.029969735809067772
394,80,558.4755918633916,True,0,0.029969735809067772
395,79,558.4886727658309,True,0,0.029969735809067772
396,79,558.488684107968,True,0,0.029969735809067772
397,81,564.6676327204854,True,0,0.029969735809067772
398,81,560.9275896895226,True,0,0.029969735809067772
399,122,712.5732870938261,True,0,0.029969735809067772
400,85,580.3027286257912,True,0,0.029969735809067772
401,95,616.3094755848065,True,0,0.029969735809067772
402,182,851.6547968080579,True,0,0.029969735809067772
403,79,558.4891821173853,True,0,0.029969735809067772
404,79,557.8495067347337,True,0,0.029969735809067772
405,84,571.4595852843199,True,0,0.029969735809067772
406,81,567.053834862543,True,0,0.029969735809067772
407,83,574.8640490644684,True,0,0.029969735809067772
408,79,558.488650330073,True,0,0.029969735809067772
409,176,841.7226567225641,True,0,0.029969735809067772
410,92,601.9989844502923,True,0,0.029969735809067772
411,140,714.6324269701738,True,0,0.029969735809067772
412,81,562.214538136924,True,0,0.029969735809067772
413,82,569.1113988779209,True,0,0.029969735809067772
414,81,565.4087600899484,True,0,0.029969735809067772
415,81,564.5662807673353,True,0,0.029969735809067772
416,80,562.4791973625713,True,0,0.029969735809067772
417,142,774.2594257677259,True,0,0.029969735809067772
418,83,566.5848345491959,True,0,0.029969735809067772
419,173,828.503482322432,True,0,0.029969735809067772
420,79,558.4886474343512,True,0,0.029969735809067772
421,82,563.504945046961,True,0,0.029969735809067772
422,79,558.4887345831088,True,0,0.029969735809067772
423,86,582.782691274207,True,0,0.029969735809067772
424,137,750.1755899292177,True,0,0.029969735809067772
425,83,573.811765512198,True,0,0.029969735809067772
426,118,700.2158171253461,True,0,0.029969735809067772
427,79,557.9257301961777,True,0,0.029969735809067772
428,79,557.9086747896836,True,0,0.029969735809067772
429,114,685.4043746536552,True,0,0.029969735809067772
430,80,562.2854177072696,True,0,0.029969735809067772
431,79,558.4886831100521,True,0,0.029969735809067772
432,79,557.9240008199315,True,0,0.029969735809067772
433,129,728.3987406705221,True,0,0.029969735809067772
434,92,602.7140837012864,True,0,0.029969735809067772
435,107,655.5888202215258,True,0,0.029969735809067772
436,107,655.3339262877178,True,0,0.029969735809067772
437,82,567.4717016933357,True,0,0.029969735809067772
438,105,651.2281256476804,True,0,0.029969735809067772
439,157,770.2206291670706,True,0,0.029969735809067772
440,86,581.2095163666879,True,0,0.029969735809067772
441,81,565.257408597446,True,0,0.029969735809067772
442,80,561.6384418183327,True,0,0.029969735809067772
443,184,855.3937745679355,True,0,0.029969735809067772
444,216,204.3694504423525,False,1,0.029969735809067772
445,82,558.7955355280335,True,0,0.029969735809067772
446,79,558.4887032715466,True,0,0.029969735809067772
447,84,571.2888674649766,True,0,0.029969735809067772
448,83,566.3123148848581,True,0,0.029969735809067772
449,149,746.6332432512156,True,0,0.029969735809067772
450,132,688.8882322210059,True,0,0.029969735809067772
451,79,557.9139255918737,True,0,0.029969735809067772
452,80,563.5320050126224,True,0,0.029969735809067772
453,79,558.4887401999176,True,0,0.029969735809067772
454,80,562.9896054936764,True,0,0.029969735809067772
455,85,582.6023495757875,True,0,0.029969735809067772
456,79,558.4887195625308,True,0,0.029969735809067772
457,79,557.9213652021828,True,0,0.029969735809067772
458,111,674.5728406159062,True,0,0.029969735809067772
459,106,651.1795222992475,True,0,0.029969735809067772
460,99,631.0120473260677,True,0,0.029969735809067772
461,95,616.7405769796694,True,0,0.029969735809067772
462,82,570.14514478192,True,0,0.029969735809067772
463,95,615.7022737564696,True,0,0.029969735809067772
464,127,721.8596693032099,True,0,0.029969735809067772
465,81,566.2707214515381,True,0,0.029969735809067772
466,108,653.4541723022247,True,0,0.029969735809067772
467,95,616.1075395040482,True,0,0.029969735809067772
468,85,574.0628415535741,True,0,0.029969735809067772
469,112,675.1908961393935,True,0,0.029969735809067772
470,81,563.6989740629351,True,0,0.029969735809067772
471,90,599.5407187720621,True,0,0.029969735809067772
472,115,683.4819435654431,True,0,0.029969735809067772
473,112,676.4384306773909,True,0,0.029969735809067772
474,85,573.8607135134775,True,0,0.029969735809067772
475,92,602.9478927512031,True,0,0.029969735809067772
476,201,919.8429842624593,True,0,0.029969735809067772
477,81,565.6671047194861,True,0,0.029969735809067772
478,81,560.8620504591779,True,0,0.029969735809067772
479,79,560.2004988344117,True,0,0.029969735809067772
480,84,577.8330701043983,True,0,0.029969735809067772
481,86,581.3165275651347,True,0,0.029969735809067772
482,79,557.9239350969032,True,0,0.029969735809067772
483,116,690.0941043451816,True,0,0.029969735809067772
484,159,784.375344018079,True,0,0.029969735809067772
485,83,567.9567101967262,True,0,0.029969735809067772
486,79,557.9065653380275,True,0,0.029969735809067772
487,78,556.225508818824,True,0,0.029969735809067772
488,130,733.2116215204752,True,0,0.029969735809067772
489,81,564.8530805838803,True,0,0.029969735809067772
490,84,576.318390304651,True,0,0.029969735809067772
491,170,820.0824500991198,True,0,0.029969735809067772
492,165,799.8826204428731,True,0,0.029969735809067772
493,79,558.4885344355082,True,0,0.029969735809067772
494,79,557.9130648607164,True,0,0.029969735809067772
495,80,559.6832829124648,True,0,0.029969735809067772
496,84,567.8379803890086,True,0,0.029969735809067772
497,81,566.1112829196941,True,0,0.029969735809067772
498,81,565.7023939671733,True,0,0.029969735809067772
499,81,565.6744011259689,True,0,0.029969735809067772
500,79,558.488777933085,True,0,0.029969735809067772
501,173,829.7634812626387,True,0,0.029969735809067772
502,81,562.8148404839449,True,0,0.029969735809067772
503,81,560.7312763999187,True,0,0.029969735809067772
